input
Interview_1.5_endorsed_edges.csv
nodes
792
edges
10127
trees
10
original node ID, node_in_maj [for each tree]
105,0,0,0,0,0,0,0,0,0,0
1003,1,1,1,0,1,1,1,0,1,0
1008,1,1,1,1,1,1,1,1,1,1
1036,1,1,1,1,1,0,1,1,1,0
1058,0,1,1,1,1,1,1,1,1,1
1090,1,1,1,0,1,1,1,1,1,0
1102,1,0,1,1,1,1,1,1,1,1
1155,1,1,1,1,1,1,1,1,1,0
1182,1,1,1,1,1,1,1,1,1,1
1183,1,1,1,1,1,1,1,1,0,1
1203,1,1,1,1,1,1,1,1,1,1
1206,1,1,1,1,1,0,1,1,1,1
1209,1,1,1,1,1,0,1,1,1,1
1216,1,1,1,1,1,1,1,1,1,1
1255,1,1,1,1,0,1,0,1,1,1
1278,1,1,1,1,1,1,1,1,1,1
1283,1,1,1,0,1,1,0,1,1,0
1287,0,1,1,1,0,0,1,1,1,1
1313,1,1,1,0,0,1,1,1,1,1
1395,0,1,1,1,0,1,1,1,1,1
1417,1,0,1,1,1,1,1,1,1,1
1422,0,1,1,1,1,1,1,1,1,0
1430,0,1,1,0,1,1,1,1,1,1
1433,0,1,1,1,0,1,1,1,1,1
1455,1,1,0,0,1,1,1,1,1,0
1471,1,1,1,1,0,1,1,1,1,1
1489,1,1,1,1,0,1,0,1,1,1
1516,1,1,0,1,1,1,1,1,0,1
1549,1,1,1,0,1,1,1,1,1,0
1601,1,1,1,1,1,1,1,1,1,1
1634,1,1,1,1,1,0,1,0,1,1
1654,1,1,1,1,1,1,1,1,0,0
1656,1,0,1,1,1,0,1,1,1,1
1665,1,1,1,1,1,1,1,1,1,1
1688,1,1,1,1,1,1,1,1,1,1
1689,1,1,1,1,1,0,1,1,1,1
1693,1,0,1,1,1,1,1,1,1,1
1700,1,1,1,1,1,0,1,0,1,1
1706,1,1,1,1,1,1,1,1,1,1
1726,0,1,1,1,1,0,1,1,1,1
1753,1,1,1,1,1,1,1,1,0,1
1754,1,1,1,1,1,0,1,0,1,1
1782,1,1,1,1,1,1,0,1,1,1
1831,1,0,1,1,1,1,1,1,1,1
1851,0,1,1,1,1,0,1,1,0,1
1867,1,1,0,1,0,1,1,1,1,1
1874,0,1,1,1,1,1,1,1,1,1
1910,1,1,1,1,1,0,1,1,1,0
1931,1,1,1,1,1,1,0,1,1,1
1937,1,1,1,1,1,1,1,1,0,1
1964,1,1,1,1,1,1,1,1,1,1
1965,1,1,1,1,1,1,1,1,0,1
1986,0,1,0,0,0,1,1,0,1,1
1998,1,1,0,1,1,1,1,1,0,1
2000,1,0,1,1,1,1,1,1,1,1
2001,1,0,1,1,1,1,1,1,0,1
2013,1,1,1,1,1,1,1,1,1,1
